Date,Bitcoin
2014-10-01,2.0
2014-10-02,1.619047619047619
2014-10-03,1.8095238095238098
2014-10-04,2.2857142857142856
2014-10-05,3.1904761904761907
2014-10-06,3.1904761904761907
2014-10-07,2.666666666666667
2014-10-08,2.3333333333333335
2014-10-09,2.0952380952380953
2014-10-10,1.8571428571428572
2014-10-11,1.619047619047619
2014-10-12,1.4761904761904763
2014-10-13,1.9047619047619047
2014-10-14,2.1904761904761907
2014-10-15,1.9523809523809526
2014-10-16,1.8571428571428572
2014-10-17,1.5714285714285716
2014-10-18,1.3333333333333335
2014-10-19,1.5714285714285716
2014-10-20,1.380952380952381
2014-10-21,1.5238095238095237
2014-10-22,1.4285714285714288
2014-10-23,1.3333333333333335
2014-10-24,1.1904761904761907
2014-10-25,1.1904761904761907
2014-10-26,1.0
2014-10-27,0.8571428571428572
2014-10-28,1.047619047619048
2014-10-29,1.4285714285714288
2014-10-30,1.3333333333333335
2014-10-31,0.9047619047619051
2014-11-01,3.0
2014-11-02,3.0
2014-11-03,3.75
2014-11-04,3.75
2014-11-05,3.75
2014-11-06,6.75
2014-11-07,8.5
2014-11-08,6.5
2014-11-09,7.5
2014-11-10,6.25
2014-11-11,9.75
2014-11-12,12.0
2014-11-13,12.5
2014-11-14,8.75
2014-11-15,4.25
2014-11-16,5.25
2014-11-17,8.0
2014-11-18,9.0
2014-11-19,4.5
2014-11-20,5.0
2014-11-21,3.0
2014-11-22,2.5
2014-11-23,5.75
2014-11-24,4.0
2014-11-25,3.75
2014-11-26,2.25
2014-11-27,4.0
2014-11-28,3.75
2014-11-29,3.75
2014-11-30,2.75
2014-12-01,3.0
2014-12-02,3.0
2014-12-03,3.0
2014-12-04,3.0
2014-12-05,3.0
2014-12-06,3.0
2014-12-07,3.0
2014-12-08,3.0
2014-12-09,3.0
2014-12-10,3.0
2014-12-11,3.0
2014-12-12,3.0
2014-12-13,3.0
2014-12-14,3.0
2014-12-15,3.0
2014-12-16,3.0
2014-12-17,3.0
2014-12-18,3.0
2014-12-19,3.0
2014-12-20,3.0
2014-12-21,3.0
2014-12-22,3.0
2014-12-23,3.0
2014-12-24,3.0
2014-12-25,3.0
2014-12-26,3.0
2014-12-27,3.0
2014-12-28,3.0
2014-12-29,3.0
2014-12-30,3.0
2014-12-31,3.0
2015-01-01,2.0
2015-01-02,1.666666666666666
2015-01-03,0.0
2015-01-04,0.0
2015-01-05,0.0
2015-01-06,0.0
2015-01-07,0.0
2015-01-08,0.0
2015-01-09,0.0
2015-01-10,0.0
2015-01-11,0.0
2015-01-12,0.6666666666666661
2015-01-13,0.0
2015-01-14,0.0
2015-01-15,0.0
2015-01-16,0.0
2015-01-17,0.0
2015-01-18,0.0
2015-01-19,0.0
2015-01-20,0.0
2015-01-21,0.0
2015-01-22,0.0
2015-01-23,0.0
2015-01-24,0.0
2015-01-25,0.33333333333333215
2015-01-26,0.0
2015-01-27,0.0
2015-01-28,0.0
2015-01-29,0.0
2015-01-30,0.0
2015-01-31,1.666666666666666
2015-02-01,2.0
2015-02-02,2.0
2015-02-03,2.0
2015-02-04,2.0
2015-02-05,2.0
2015-02-06,2.0
2015-02-07,2.0
2015-02-08,2.0
2015-02-09,2.0
2015-02-10,2.0
2015-02-11,2.0
2015-02-12,2.0
2015-02-13,2.0
2015-02-14,2.0
2015-02-15,2.0
2015-02-16,2.0
2015-02-17,2.0
2015-02-18,2.0
2015-02-19,2.0
2015-02-20,2.0
2015-02-21,2.0
2015-02-22,2.0
2015-02-23,2.0
2015-02-24,2.0
2015-02-25,2.0
2015-02-26,2.0
2015-02-27,2.0
2015-02-28,2.0
2015-03-01,2.0
2015-03-02,2.0
2015-03-03,2.0
2015-03-04,2.0
2015-03-05,2.0
2015-03-06,2.0
2015-03-07,2.0
2015-03-08,2.0
2015-03-09,2.0
2015-03-10,2.0
2015-03-11,2.0
2015-03-12,2.0
2015-03-13,2.0
2015-03-14,2.0
2015-03-15,2.0
2015-03-16,2.0
2015-03-17,2.0
2015-03-18,2.0
2015-03-19,2.0
2015-03-20,2.0
2015-03-21,2.0
2015-03-22,2.0
2015-03-23,2.0
2015-03-24,2.0
2015-03-25,2.0
2015-03-26,2.0
2015-03-27,2.0
2015-03-28,2.0
2015-03-29,2.0
2015-03-30,2.0
2015-03-31,2.0
2015-04-01,2.0
2015-04-02,2.0
2015-04-03,2.0
2015-04-04,2.0
2015-04-05,2.0
2015-04-06,2.0
2015-04-07,2.0
2015-04-08,2.0
2015-04-09,2.0
2015-04-10,2.0
2015-04-11,2.0
2015-04-12,2.0
2015-04-13,2.0
2015-04-14,2.0
2015-04-15,2.0
2015-04-16,2.0
2015-04-17,2.0
2015-04-18,2.0
2015-04-19,2.0
2015-04-20,2.0
2015-04-21,2.0
2015-04-22,2.0
2015-04-23,2.0
2015-04-24,2.0
2015-04-25,2.0
2015-04-26,2.0
2015-04-27,2.0
2015-04-28,2.0
2015-04-29,2.0
2015-04-30,2.0
2015-05-01,2.0
2015-05-02,2.0
2015-05-03,2.0
2015-05-04,2.0
2015-05-05,2.0
2015-05-06,2.0
2015-05-07,2.0
2015-05-08,2.0
2015-05-09,2.0
2015-05-10,2.0
2015-05-11,2.0
2015-05-12,2.0
2015-05-13,2.0
2015-05-14,2.0
2015-05-15,2.0
2015-05-16,2.0
2015-05-17,2.0
2015-05-18,2.0
2015-05-19,2.0
2015-05-20,2.0
2015-05-21,2.0
2015-05-22,2.0
2015-05-23,2.0
2015-05-24,2.0
2015-05-25,2.0
2015-05-26,2.0
2015-05-27,2.0
2015-05-28,2.0
2015-05-29,2.0
2015-05-30,2.0
2015-05-31,2.0
2015-06-01,3.0
2015-06-02,2.7777777777777777
2015-06-03,3.1111111111111107
2015-06-04,3.0
2015-06-05,2.6666666666666665
2015-06-06,2.5555555555555554
2015-06-07,2.444444444444444
2015-06-08,2.5555555555555554
2015-06-09,2.5555555555555554
2015-06-10,2.5555555555555554
2015-06-11,2.7777777777777777
2015-06-12,2.7777777777777777
2015-06-13,2.111111111111111
2015-06-14,2.2222222222222223
2015-06-15,2.444444444444444
2015-06-16,2.888888888888889
2015-06-17,3.1111111111111107
2015-06-18,11.11111111111111
2015-06-19,4.111111111111111
2015-06-20,4.0
2015-06-21,3.222222222222222
2015-06-22,2.888888888888889
2015-06-23,2.7777777777777777
2015-06-24,3.0
2015-06-25,4.0
2015-06-26,2.7777777777777777
2015-06-27,3.444444444444444
2015-06-28,3.222222222222222
2015-06-29,3.6666666666666665
2015-06-30,4.111111111111111
2015-07-01,2.0
2015-07-02,2.7058823529411757
2015-07-03,2.941176470588235
2015-07-04,1.8235294117647056
2015-07-05,2.7058823529411757
2015-07-06,1.7647058823529411
2015-07-07,2.0
2015-07-08,1.3529411764705879
2015-07-09,2.352941176470588
2015-07-10,1.5294117647058822
2015-07-11,2.352941176470588
2015-07-12,1.0
2015-07-13,2.0
2015-07-14,2.6470588235294112
2015-07-15,2.117647058823529
2015-07-16,2.9999999999999996
2015-07-17,3.0588235294117645
2015-07-18,2.764705882352941
2015-07-19,3.0588235294117645
2015-07-20,2.9999999999999996
2015-07-21,3.294117647058823
2015-07-22,2.9999999999999996
2015-07-23,2.8235294117647056
2015-07-24,3.2352941176470584
2015-07-25,3.2352941176470584
2015-07-26,2.764705882352941
2015-07-27,2.6470588235294112
2015-07-28,2.5882352941176467
2015-07-29,3.1764705882352935
2015-07-30,3.4705882352941173
2015-07-31,3.294117647058823
2015-08-01,2.0
